algorithm,array_type,size,time_us,char_comparisons
StringMergeSort,reversed,1900,15043,7422
MSDRadixSort,reversed,1900,3901,0
MSDRadixSortWithSwitch,reversed,1900,3990,71005
QuickSort,almost_sorted,1900,13512,366545
MergeSort,almost_sorted,1900,9783,24171
StringQuickSort,almost_sorted,1900,4047,84008
StringMergeSort,almost_sorted,1900,15559,9207
MSDRadixSort,almost_sorted,1900,3961,0
MSDRadixSortWithSwitch,almost_sorted,1900,3970,73770
QuickSort,random,2000,14114,359260
MergeSort,random,2000,10904,27189
StringQuickSort,random,2000,4129,81741
StringMergeSort,random,2000,18053,17587
MSDRadixSort,random,2000,3604,0
MSDRadixSortWithSwitch,random,2000,3822,69004
QuickSort,reversed,2000,16068,449541
MergeSort,reversed,2000,9741,16980
StringQuickSort,reversed,2000,4336,93423
StringMergeSort,reversed,2000,16023,7666
MSDRadixSort,reversed,2000,4149,0
MSDRadixSortWithSwitch,reversed,2000,3966,73808
QuickSort,almost_sorted,2000,14638,386708
MergeSort,almost_sorted,2000,10345,25565
StringQuickSort,almost_sorted,2000,4438,91078
StringMergeSort,almost_sorted,2000,16447,9663
MSDRadixSort,almost_sorted,2000,4150,0
MSDRadixSortWithSwitch,almost_sorted,2000,4076,78017
QuickSort,random,2100,14340,373611
MergeSort,random,2100,11396,28881
StringQuickSort,random,2100,4154,83249
StringMergeSort,random,2100,18743,18548
MSDRadixSort,random,2100,3866,0
MSDRadixSortWithSwitch,random,2100,4105,71244
QuickSort,reversed,2100,16925,471344
MergeSort,reversed,2100,10195,17964
StringQuickSort,reversed,2100,4611,99236
StringMergeSort,reversed,2100,17035,8099
MSDRadixSort,reversed,2100,4427,0
MSDRadixSortWithSwitch,reversed,2100,4192,77519
QuickSort,almost_sorted,2100,15480,411524
MergeSort,almost_sorted,2100,10994,27093
StringQuickSort,almost_sorted,2100,4461,96007
StringMergeSort,almost_sorted,2100,17348,10262
MSDRadixSort,almost_sorted,2100,4528,0
MSDRadixSortWithSwitch,almost_sorted,2100,4266,83422
QuickSort,random,2200,15366,395107
MergeSort,random,2200,11670,30562
StringQuickSort,random,2200,4537,91305
StringMergeSort,random,2200,20205,19632
MSDRadixSort,random,2200,4133,0
MSDRadixSortWithSwitch,random,2200,4434,76524
QuickSort,reversed,2200,17958,492348
MergeSort,reversed,2200,11134,18661
StringQuickSort,reversed,2200,4652,103555
StringMergeSort,reversed,2200,18284,8563
MSDRadixSort,reversed,2200,4491,0
MSDRadixSortWithSwitch,reversed,2200,4367,79794
QuickSort,almost_sorted,2200,16640,431440
MergeSort,almost_sorted,2200,11590,28600
StringQuickSort,almost_sorted,2200,4781,102701
StringMergeSort,almost_sorted,2200,18329,10687
MSDRadixSort,almost_sorted,2200,4513,0
MSDRadixSortWithSwitch,almost_sorted,2200,4800,87111
QuickSort,random,2300,16126,411708
MergeSort,random,2300,14312,32243
StringQuickSort,random,2300,4783,94944
StringMergeSort,random,2300,20605,20588
MSDRadixSort,random,2300,4646,0
MSDRadixSortWithSwitch,random,2300,4577,81261
QuickSort,reversed,2300,18976,515925
MergeSort,reversed,2300,12170,19406
StringQuickSort,reversed,2300,4865,108969
StringMergeSort,reversed,2300,19305,9081
MSDRadixSort,reversed,2300,4685,0
MSDRadixSortWithSwitch,reversed,2300,4815,83888
QuickSort,almost_sorted,2300,16881,447671
MergeSort,almost_sorted,2300,12105,30738
StringQuickSort,almost_sorted,2300,4711,105857
StringMergeSort,almost_sorted,2300,19132,11325
MSDRadixSort,almost_sorted,2300,4887,0
MSDRadixSortWithSwitch,almost_sorted,2300,4879,91660
QuickSort,random,2400,16881,437939
MergeSort,random,2400,12988,34026
StringQuickSort,random,2400,4868,99872
StringMergeSort,random,2400,21207,21680
MSDRadixSort,random,2400,4693,0
MSDRadixSortWithSwitch,random,2400,4804,87604
QuickSort,reversed,2400,19188,539390
MergeSort,reversed,2400,12387,20276
StringQuickSort,reversed,2400,5038,113999
StringMergeSort,reversed,2400,20144,9621
MSDRadixSort,reversed,2400,5277,0
MSDRadixSortWithSwitch,reversed,2400,4753,88672
QuickSort,almost_sorted,2400,17278,467112
MergeSort,almost_sorted,2400,13047,32505
StringQuickSort,almost_sorted,2400,5824,111293
StringMergeSort,almost_sorted,2400,20734,11762
MSDRadixSort,almost_sorted,2400,5230,0
MSDRadixSortWithSwitch,almost_sorted,2400,5451,96786
QuickSort,random,2500,17951,453256
MergeSort,random,2500,13700,35757
StringQuickSort,random,2500,5262,101270
StringMergeSort,random,2500,22043,22713
MSDRadixSort,random,2500,5260,0
MSDRadixSortWithSwitch,random,2500,5094,90645
QuickSort,reversed,2500,20581,562422
MergeSort,reversed,2500,13307,21284
StringQuickSort,reversed,2500,5223,117340
StringMergeSort,reversed,2500,20820,10214
MSDRadixSort,reversed,2500,5097,0
MSDRadixSortWithSwitch,reversed,2500,4911,91591
QuickSort,almost_sorted,2500,18889,488224
MergeSort,almost_sorted,2500,13699,33626
StringQuickSort,almost_sorted,2500,5340,114962
StringMergeSort,almost_sorted,2500,21039,12293
MSDRadixSort,almost_sorted,2500,5008,0
MSDRadixSortWithSwitch,almost_sorted,2500,5505,101682
QuickSort,random,2600,18602,472564
MergeSort,random,2600,14136,37476
StringQuickSort,random,2600,5554,113611
StringMergeSort,random,2600,23786,23774
MSDRadixSort,random,2600,5196,0
MSDRadixSortWithSwitch,random,2600,5267,96870
QuickSort,reversed,2600,21039,585040
MergeSort,reversed,2600,13279,21867
StringQuickSort,reversed,2600,5562,123458
StringMergeSort,reversed,2600,21572,10360
MSDRadixSort,reversed,2600,5455,0
MSDRadixSortWithSwitch,reversed,2600,5527,94887
QuickSort,almost_sorted,2600,19198,508640
MergeSort,almost_sorted,2600,14203,35726
StringQuickSort,almost_sorted,2600,5985,120181
StringMergeSort,almost_sorted,2600,22387,12998
MSDRadixSort,almost_sorted,2600,5156,0
MSDRadixSortWithSwitch,almost_sorted,2600,5713,105006
QuickSort,random,2700,19424,486972
MergeSort,random,2700,15297,39263
StringQuickSort,random,2700,5816,114589
StringMergeSort,random,2700,24578,24781
MSDRadixSort,random,2700,5432,0
MSDRadixSortWithSwitch,random,2700,5762,101231
QuickSort,reversed,2700,21709,607311
MergeSort,reversed,2700,14218,22785
StringQuickSort,reversed,2700,5754,126257
StringMergeSort,reversed,2700,23408,10749
MSDRadixSort,reversed,2700,5647,0
MSDRadixSortWithSwitch,reversed,2700,5470,98447
QuickSort,almost_sorted,2700,19780,533080
MergeSort,almost_sorted,2700,14638,37242
StringQuickSort,almost_sorted,2700,6126,127633
StringMergeSort,almost_sorted,2700,24525,13614
MSDRadixSort,almost_sorted,2700,5640,0
MSDRadixSortWithSwitch,almost_sorted,2700,5853,110589
QuickSort,random,2800,19755,513576
MergeSort,random,2800,15802,40986
StringQuickSort,random,2800,6171,121530
StringMergeSort,random,2800,26069,25725
MSDRadixSort,random,2800,5729,0
MSDRadixSortWithSwitch,random,2800,5880,106084
QuickSort,reversed,2800,22825,630414
MergeSort,reversed,2800,14357,23861
StringQuickSort,reversed,2800,5962,130734
StringMergeSort,reversed,2800,23546,11255
MSDRadixSort,reversed,2800,6115,0
MSDRadixSortWithSwitch,reversed,2800,5495,101900
QuickSort,almost_sorted,2800,20670,544877
MergeSort,almost_sorted,2800,15273,38929
StringQuickSort,almost_sorted,2800,6328,132704
StringMergeSort,almost_sorted,2800,23802,14185
MSDRadixSort,almost_sorted,2800,5797,0
MSDRadixSortWithSwitch,almost_sorted,2800,5945,114665
QuickSort,random,2900,20918,524120
MergeSort,random,2900,16559,42703
StringQuickSort,random,2900,6317,124048
StringMergeSort,random,2900,26401,26846
MSDRadixSort,random,2900,5828,0
MSDRadixSortWithSwitch,random,2900,5962,107720
QuickSort,reversed,2900,23949,655547
MergeSort,reversed,2900,15050,24658
StringQuickSort,reversed,2900,6478,136802
StringMergeSort,reversed,2900,25858,11593
MSDRadixSort,reversed,2900,5964,0
MSDRadixSortWithSwitch,reversed,2900,5725,105700
QuickSort,almost_sorted,2900,21151,559447
MergeSort,almost_sorted,2900,16045,40180
StringQuickSort,almost_sorted,2900,6335,136990
StringMergeSort,almost_sorted,2900,25411,14855
MSDRadixSort,almost_sorted,2900,5794,0
MSDRadixSortWithSwitch,almost_sorted,2900,6473,119006
QuickSort,random,3000,21020,542300
MergeSort,random,3000,17241,44478
StringQuickSort,random,3000,6583,129718
StringMergeSort,random,3000,27532,27892
MSDRadixSort,random,3000,6986,0
MSDRadixSortWithSwitch,random,3000,6061,110068
QuickSort,reversed,3000,24220,677557
MergeSort,reversed,3000,15645,25780
StringQuickSort,reversed,3000,6758,141611
StringMergeSort,reversed,3000,25556,11980
MSDRadixSort,reversed,3000,6396,0
MSDRadixSortWithSwitch,reversed,3000,6240,110230
QuickSort,almost_sorted,3000,24279,679072
MergeSort,almost_sorted,3000,16026,41691
StringQuickSort,almost_sorted,3000,6718,139215
StringMergeSort,almost_sorted,3000,25784,15454
MSDRadixSort,almost_sorted,3000,5941,0
MSDRadixSortWithSwitch,almost_sorted,3000,6716,122583
